"Country","Site.Name","Distance","Date","Time","Lat","Long","habitat","Total","TotalFish","Total.std","TotalFish.std","ENSPIE","ENSPIEfish","biomass","biomass.std"
"Australia (QLD2)","Hervey Bay",20,20170222,1430,-25.307906,152.909319,"Unveg",2,2,0.1,0.1,2,2,0.00301826692935359,0.000150913346467679
"Australia (QLD2)","Hervey Bay",20,20170223,1530,-25.307906,152.909319,"Unveg",4,4,0.2,0.2,1,1,0.0147511061593146,0.000737555307965728
"Australia (QLD2)","Hervey Bay",20,20170224,1630,-25.307906,152.909319,"Unveg",16,16,0.8,0.8,1.28,1.28,0.021492080287379,0.00107460401436895
"Australia (QLD3)","Moreton_Bay",20,20170209,1520,-27.493913,153.397212,"Seagrass",10,7,0.5,0.35,3.57142857142857,2.57894736842105,0.0333313603697875,0.00166656801848938
"Australia (QLD3)","Moreton_Bay",25,20170210,1715,-27.494235,153.397253,"Seagrass",39,37,1.56,1.48,2.26676602086438,2.05247376311844,0.0761847799736372,0.00304739119894549
"Australia (QLD3)","Moreton_Bay",35,20170211,1550,-27.493998,153.397206,"Seagrass",76,51,2.17142857142857,1.45714285714286,2.31595829991981,1.39165329052969,0.0711535191041416,0.00203295768868976
"Australia (QLD3)","Moreton_Bay",35,20170210,1700,-27.495714,153.396891,"Unveg",30,29,0.857142857142857,0.828571428571429,1.31964809384164,1.23494860499266,0.0058939300267437,0.000168398000764106
"Australia (QLD3)","Moreton_Bay",35,20170211,1635,-27.496161,153.396698,"Unveg",2,0,0.0571428571428571,0,1,NA,0,0
"France","Bouzigues",15.5,20160607,922,43.447124,3.666644,"Unveg",1,1,0.0645161290322581,0.0645161290322581,1,1,0.0577536,0.00372603870967742
"France","Bouzigues",15.5,20160607,1210,43.447124,3.666644,"Unveg",1,1,0.0645161290322581,0.0645161290322581,1,1,0.0102789,0.000663154838709677
"France","Bouzigues",16,20160607,936,43.447124,3.666644,"Seagrass",5,0,0.3125,0,1,NA,0,0
"France","Bouzigues",16,20160607,1225,43.447124,3.666644,"Seagrass",31,8,1.9375,0.5,1.65975820379965,1.28,0.0539068768658498,0.00336917980411561
"France","Bouzigues",15.5,20160807,931,43.447124,3.666644,"Unveg",1,1,0.0645161290322581,0.0645161290322581,1,1,0.0086591625,0.00055865564516129
"France","Bouzigues",16,20160807,948,43.447124,3.666644,"Seagrass",4,0,0.25,0,1,NA,0,0
"France","Bouzigues",16,20160807,1030,43.447124,3.666644,"Seagrass",6,2,0.375,0.125,2,2,0.0222521712591318,0.00139076070369574
"USA (VA2)","PungSAV1",15,20160621,1000,37.68882,-75.86724,"Seagrass",34,7,2.26666666666667,0.466666666666667,1.54545454545455,2.57894736842105,0.00614466888055602,0.000409644592037068
"USA (VA2)","PungSAV2",8.5,20160622,1115,37.68154,-75.86672,"Seagrass",11,3,1.29411764705882,0.352941176470588,1.65753424657534,1,0.0152183477427258,0.00179039385208539
"USA (VA2)","PungSAV3",8,20160623,1240,37.68225,-75.86633,"Seagrass",8,8,1,1,3.55555555555556,3.55555555555556,0.00844650857095938,0.00105581357136992
"USA (VA2)","PungSand1",15,20160621,1115,37.68751,-75.86738,"Unveg",26,24,1.73333333333333,1.6,1.26591760299625,1.08679245283019,0,0
"USA (VA2)","PungSand2",12.6,20160622,1030,37.68175,-75.86651,"Unveg",17,14,1.34920634920635,1.11111111111111,2.07913669064748,1.50769230769231,0.00717227885527588,0.000569228480577451
"USA (VA2)","PungSand3",15,20160623,1150,37.68199,-75.86617,"Unveg",20,15,1.33333333333333,1,2.24719101123596,1.47058823529412,0.004212558175738,0.000280837211715867
"USA (TX)","Laguna Madre",20,20160727,850,27.6330167,-97.2881333,"Unveg",1,0,0.05,0,1,NA,0,0
"Wales","Porthdinllaen, UK",20,20160902,1900,52.94046,-4.56424,"Unveg",1,0,0.05,0,1,NA,0,0
"Wales","Porthdinllaen, UK",20,20160902,2000,52.94046,-4.56424,"Unveg",3,0,0.15,0,1,NA,0,0
