Country,habitat,sciName,Genus,family,present,Site,rate,basin,coast,meanLat,meanLong,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,parmax,parmean,salinity,sstmax,sstmean,sstmin,sstrange,name,act,feed,troph,watercol,body
Croatia,Seagrass,Diplodus annularis,Diplodus,Sparidae,NA,Croatia,0,Mediterranean,East,44.20446025,15.472773125,0.734000027179718,0.612999975681305,0.538999974727631,0.195000097155571,0.801999986171722,0.656000018119812,0.444000005722046,56.7519989013672,33.1430015563965,38.4339981079102,24.8369998931885,15.7770004272461,8.19600009918213,16.6410007476807,Diplannu,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
France,Unvegetated,Symphodus tinca,Symphodus,Labridae,NA,France,0.04617251367819423,Mediterranean,East,43.447124,3.666644,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,56.1839993794759,33.7876663208008,37.3333333333333,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,Symptinc,active,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
France,Unvegetated,Sparus aurata,Sparus,Sparidae,NA,France,0.04617251367819423,Mediterranean,East,43.447124,3.666644,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,56.1839993794759,33.7876663208008,37.3333333333333,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,Sparaura,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
France,Unvegetated,Liza sp.,Liza,Mugilidae,NA,France,0.04617251367819423,Mediterranean,East,43.447124,3.666644,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,56.1839993794759,33.7876663208008,37.3333333333333,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,Lizasp,active,browsing on substrate,omnivore,demersal,fusiform / normal
France,Unvegetated,Diplodus sargus,Diplodus,Sparidae,NA,France,0.04617251367819423,Mediterranean,East,43.447124,3.666644,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,56.1839993794759,33.7876663208008,37.3333333333333,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,Diplsarg,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
France,Seagrass,Symphodus tinca,Symphodus,Labridae,1,France,4.5375266472258424e-4,Mediterranean,East,43.447124,3.666644,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,56.1839993794759,33.7876663208008,37.3333333333333,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,Symptinc,active,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
France,Unvegetated,Salaria pavo,Salaria,Blenniidae,NA,France,0.04617251367819423,Mediterranean,East,43.447124,3.666644,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,56.1839993794759,33.7876663208008,37.3333333333333,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,Salapavo,ambush,variable,omnivore,benthic,fusiform / normal
France,Unvegetated,Liza aurata,Liza,Mugilidae,1,France,0.04617251367819423,Mediterranean,East,43.447124,3.666644,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,56.1839993794759,33.7876663208008,37.3333333333333,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,Lizaaura,active,variable,omnivore,demersal,fusiform / normal
France,Unvegetated,Atherina boyeri,Atherina,Atherinidae,1,France,0.04617251367819423,Mediterranean,East,43.447124,3.666644,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,56.1839993794759,33.7876663208008,37.3333333333333,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,Atheboye,active,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,elongated
France,Seagrass,Atherina boyeri,Atherina,Atherinidae,1,France,4.5375266472258424e-4,Mediterranean,East,43.447124,3.666644,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,56.1839993794759,33.7876663208008,37.3333333333333,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,Atheboye,active,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,elongated
USA (FL),Unvegetated,Trichechus manatus,Trichechus,Trichechidae,NA,FL,0.5047440607258258,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Tricmana,active,grazing on aquatic plants,browsing herbivore,benthic,mammal
USA (FL),Unvegetated,Archosargus probatocephalus,Archosargus,Sparidae,NA,FL,0.5047440607258258,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Archprob,active,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal
USA (FL),Seagrass,Ariopsis felis,Ariopsis,Ariidae,NA,FL,0.2877892059098242,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Ariofeli,active,hunting macrofauna (predator),omnivore,benthic,elongated
USA (FL),Seagrass,Archosargus probatocephalus,Archosargus,Sparidae,NA,FL,0.2877892059098242,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Archprob,active,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal
USA (FL),Seagrass,Mugil cephalus,Mugil,Mugilidae,NA,FL,0.2877892059098242,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Mugiceph,active,browsing on substrate,omnivore,demersal,fusiform / normal
USA (FL),Seagrass,Chilomycterus schoepfi,Chilomycterus,Diodontidae,NA,FL,0.2877892059098242,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Chilscho,active,variable,benthic invertivore,demersal,short and / or deep
USA (FL),Unvegetated,Mugil curema,Mugil,Mugilidae,NA,FL,0.5047440607258258,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Mugicure,active,variable,omnivore,demersal,fusiform / normal
USA (FL),Unvegetated,Ariopsis felis,Ariopsis,Ariidae,NA,FL,0.5047440607258258,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Ariofeli,active,hunting macrofauna (predator),omnivore,benthic,elongated
USA (FL),Unvegetated,Mugil cephalus,Mugil,Mugilidae,NA,FL,0.5047440607258258,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Mugiceph,active,browsing on substrate,omnivore,demersal,fusiform / normal
USA (FL),Unvegetated,Sphoeroides nephelus,Sphoeroides,Tetraodontidae,NA,FL,0.5047440607258258,Atlantic,West,27.536026,-80.348148,3.50299990177155,1.97400003671646,0.906000018119812,2.59700000286102,0.755500018596649,0.571000009775162,0.450000002980232,54.3500003814697,41.4449996948242,36.1450004577637,30.8994998931885,25.5809993743896,21.0495004653931,9.84999990463257,Sphoneph,active,hunting macrofauna (predator),benthic invertivore,benthic,short and / or deep
Norway,Seagrass,Pollachius virens,Pollachius,Gadidae,1,Norway,0,Atlantic,East,67.214334,15.007534,3.77162499725819,1.75587499141693,1.04237500578165,2.72924998030066,0.822374992072582,0.763125009834766,0.693624995648861,40.1881237030029,29.1772499084473,32.1760001182556,14.1624999046326,7.18950003385544,2.4352500140667,11.7272499799728,Pollvire,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Norway,Seagrass,Pomatoschistus sp.,Pomatoschistus,Gobiidae,1,Norway,0,Atlantic,East,67.214334,15.007534,3.77162499725819,1.75587499141693,1.04237500578165,2.72924998030066,0.822374992072582,0.763125009834766,0.693624995648861,40.1881237030029,29.1772499084473,32.1760001182556,14.1624999046326,7.18950003385544,2.4352500140667,11.7272499799728,Pomasp,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal
