Country,Site.Name,sciName,totalCount,family,feeding,trophic,waterColumn,diel,habitatRLS,eat.squid,phylum,method
USA (NC),NC,Diplodus holbrookii,4,Sparidae,grazing on aquatic plants,omnivore,demersal,,seagrass,1,Chordata,seine
Italy,NA,Diplodus puntazzo,1,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
France,Bouzigues,Diplodus sargus,1,Sparidae,hunting macrofauna (predator),Higher carnivore,Demersal,,,1,Chordata,seine
France,NA,Diplodus sargus,2,Sparidae,NA,NA,NA,NA,NA,1,Chordata,seine
Italy,NA,Diplodus sargus,2,Sparidae,NA,NA,NA,NA,NA,1,Chordata,video
Italy,NA,Diplodus vulgaris,6,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
USA (NC),NC,Lagodon rhomboides,298,Sparidae,hunting macrofauna (predator),omnivore,demersal,"day, night","seagrass, sand, rock",1,Chordata,seine
USA (NC2),Pine Knoll Shores,Lagodon rhomboides,24,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (TX),Aransas Pass,Lagodon rhomboides,149,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (TX),Laguna Madre,Lagodon rhomboides,30,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (TX),Oso Bay,Lagodon rhomboides,22,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (NC2),NA,Lagodon rhomboides,6,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Italy,NA,Oblada melanura,39,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Italy,NA,Sarpa salpa,1,Sparidae,grazing on aquatic plants,Browsing herbivore,Demersal,Day,rock,1,Chordata,video
Croatia,NA,Sparus aurata,4,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
France,NA,Sparus aurata,4,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Italy,NA,Sparus aurata,2,Sparidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
France,Bouzigues,Sparus sp.,4,Sparidae,hunting macrofauna (predator),Higher carnivore,,,,1,Chordata,seine
Italy,NA,Spondyliosoma cantharus,14,Sparidae,variable,NA,NA,NA,NA,1,Chordata,video
Australia (QLD2),NA,Sphyraena barracuda,1,Sphyraenidae,NA,NA,NA,NA,NA,1,Chordata,seine
Mexico (ICML2),NA,Sphyraena barracuda,2,Sphyraenidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
USA (NC),NC,Sphyraena borealis,1,Sphyraenidae,hunting macrofauna (predator),higher carnivore,demersal,night,"sand, seagrass",1,Chordata,seine
Australia (QLD),Bowen,Sphyraena obtusata,1,Sphyraenidae,hunting macrofauna (predator),Higher carnivore,pelagic non-site attached,Day,"coral, sand, seagrass",1,Chordata,seine
Australia (QLD2),Noosa river,Sphyraena obtusata,1,Sphyraenidae,hunting macrofauna (predator),Higher carnivore,pelagic non-site attached,Day,coral,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Sphyraena obtusata,5,Sphyraenidae,hunting macrofauna (predator),Higher carnivore,pelagic non-site attached,Day,coral,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Sphyraena obtusata,5,Sphyraenidae,hunting macrofauna (predator),Higher carnivore,pelagic non-site attached,Day,coral,1,Chordata,seine
Canada (BC),Choked Pocket,Xiphister atropurpureus,1,Stichaeidae,variable,Omnivore,Benthic,,rock,0,Chordata,seine
Wales,"Porthdinllaen, UK",Entelurus aequoreus,3,Syngnathidae,variable,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Hippichthys penicillus,1,Syngnathidae,NA,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Hippichthys penicillus,1,Syngnathidae,selective plankton feeding,Planktivore,benthic,Day,seagrass/rock,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Hippocampus procerus,1,Syngnathidae,NA,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Hippocampus procerus,1,Syngnathidae,selective plankton feeding,Planktivore,benthic,Day,seagrass/rock,0,Chordata,seine
USA (NC),NC,Hippocampus sp.,1,Syngnathidae,variable,omnivore,benthic,,"seagrass, seaweed",0,Chordata,seine
Australia (QLD3),Moreton_Bay,Hippocampus whitei,2,Syngnathidae,NA,Benthic invertivore,benthic,Day,rock,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Hippocampus whitei,2,Syngnathidae,selective plankton feeding,Planktivore,benthic,Day,seagrass/rock,0,Chordata,seine
Australia (VIC),Edwards Point,Stigmatopora argus,5,Syngnathidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,seagrass,0,Chordata,seine
France,Bouzigues,Syngnathus abaster,3,Syngnathidae,selective plankton feeding,,benthic,,,0,Chordata,seine
Wales,"Porthdinllaen, UK",Syngnathus acus,2,Syngnathidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (TX),Aransas Pass,Syngnathus floridae,12,Syngnathidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (TX),Oso Bay,Syngnathus floridae,2,Syngnathidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (VA2),,Syngnathus fuscus,5,Syngnathidae,hunting macrofauna (predator),,demersal,,"seagrass, seaweed",0,Chordata,seine
Canada (BC),Choked Pocket,Syngnathus leptorhynchus,2,Syngnathidae,hunting macrofauna (predator),Planktivore,Pelagic site attached,,seagrass,0,Chordata,seine
Mexico (BN),Punta Banda Estuary,Syngnathus leptorhynchus,7,Syngnathidae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Day,Sand,0,Chordata,seine
USA (AK),Sunshine Cove,Syngnathus leptorhynchus,17,Syngnathidae,hunting macrofauna (predator),invertivore,,,"vegitated, rocky, sand",0,Chordata,seine
USA (CA),San Diego,Syngnathus leptorhynchus,8,Syngnathidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (CA2),Windy Cove,Syngnathus leptorhynchus,9,Syngnathidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Syngnathus leptorhynchus,7,Syngnathidae,hunting macrofauna (predator),,,,,0,Chordata,seine
USA (WA),Redondo N1,Syngnathus leptorhynchus,2,Syngnathidae,hunting macrofauna (predator),Benthic invertivore,demersal,,,0,Chordata,seine
USA (WA),Redondo S-6,Syngnathus leptorhynchus,10,Syngnathidae,hunting macrofauna (predator),Benthic invertivore,demersal,,,0,Chordata,seine
USA (WA2),False Bay,Syngnathus leptorhynchus,41,Syngnathidae,hunting macrofauna (predator),Omnivore,Demersal,Day,sand,0,Chordata,seine
Australia (QLD),Bowen,Syngnathus sp.,1,Syngnathidae,selective plankton feeding,planktivore,Demersal,Day/night,"seagrass, seaweed",0,Chordata,seine
Australia (QLD2),Noosa river,Syngnathus sp.,1,Syngnathidae,Feeds on benthic infauna,omnivore,benthic,Day,Seagrass,0,Chordata,seine
France,Bouzigues,Syngnathus sp.,3,Syngnathidae,selective plankton feeding,,benthic,,,0,Chordata,seine
USA (NC),NC,Syngnathus sp.,7,Syngnathidae,variable,omnivore,benthic,,seagrass,0,Chordata,seine
Croatia,CR-B-SvetiDuh,Syngnathus typhle,5,Syngnathidae,selective plankton feeding,Planktivore AND benthic invertivore,demersal,day,seagrass,0,Chordata,seine
France,Bouzigues,Syngnathus typhle,8,Syngnathidae,selective plankton feeding,,benthic,,,0,Chordata,seine
Croatia,NA,Syngnathus typhle,1,Syngnathidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Urocampus carinirostris,1,Syngnathidae,NA,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Urocampus carinirostris,1,Syngnathidae,selective plankton feeding,Planktivore,benthic,Day,seagrass/rock,0,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Saurida nebulosa,1,Synodontidae,hunting macrofauna (predator),higher carnivore,benthic,day,"sand, seagrass",0,Chordata,seine
USA (TX),Aransas Pass,Synodus foetens,2,Synodontidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Brazil,Praia do Barreiro,Synodus myops,2,Synodontidae,hunting macrofauna (predator),Canivore (fish; data obtained for S. dermatogenys and S. saurus),Demersal,-- No information --,sand,0,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Helotes sexlineatus,6,Terapontidae,variable,omnivore,demersal,day,"rock, seagrass, sand",1,Chordata,seine
Australia (QLD3),Moreton_Bay,Helotes sexlineatus,72,Terapontidae,browsing on substrate,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Helotes sexlineatus,72,Terapontidae,browsing on substrate,Omnivore,Demersal,Day,seagrass,1,Chordata,seine
Australia (QLD),Bowen,Pelates quadrilineatus,147,Terapontidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,"seagrass, sand",1,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Pelates sexlineatus,42,Terapontidae,hunting macrofauna (predator),benthic invertivore,demersal,day,seagrass,1,Chordata,seine
Australia (QLD2),Hervey Bay,Pelates sexlineatus,3,Terapontidae,hunting macrofauna (predator),Benthic invertivore,benthic,day,Seagrass,1,Chordata,seine
Australia (QLD2),Noosa river,Pelates sexlineatus,34,Terapontidae,hunting macrofauna (predator),Benthic invertivore,benthic,day,Seagrass,1,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Arothron hispidus,5,Tetraodontidae,variable,higher carnivore,Demersal,day,"rock, seagrass, sand",1,Chordata,seine
Australia (QLD2),NA,Arothron sp.,1,Tetraodontidae,NA,NA,NA,NA,NA,1,Chordata,seine
Korea,Koje-Korea,Arothron stellatus,1,Tetraodontidae,hunting macrofauna (predator),omnivore,demersal,NA,seagrass,1,Chordata,seine
USA (VA2),,Sphoeroides maculatus,1,Tetraodontidae,hunting macrofauna (predator),,pelagic non-site attached,,,1,Chordata,seine
USA (FL),NA,Sphoeroides nephelus,2,Tetraodontidae,variable,omnivore,benthic,NA,NA,1,Chordata,video
Mexico (ICML2),NA,Sphoeroides testudineus,1,Tetraodontidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Korea,Koje-Korea,Takifugu niphobles,47,Tetraodontidae,hunting macrofauna (predator),Benthic invertivore,Demersal,NA,"sand, seagrass",1,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Tetractenos glaber,38,Tetraodontidae,hunting macrofauna (predator),benthic invertivore,demersal,day,"seagrass, sand",1,Chordata,seine
Australia (VIC),Edwards Point,Tetractenos glaber,63,Tetraodontidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,sand/seagrass,1,Chordata,seine
Australia (VIC),Indented Head,Tetractenos glaber,93,Tetraodontidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,sand/seagrass,1,Chordata,seine
Australia (VIC),St. Leonards,Tetractenos glaber,113,Tetraodontidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,sand/seagrass,1,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Tetractenos hamiltoni,2,Tetraodontidae,variable,higher carnivore,Demersal,day,"sand, seagrass",1,Chordata,seine
Australia (QLD2),Hervey Bay,Tetractenos hamiltoni,27,Tetraodontidae,Feeds on benthic infauna,benthic invertivore,benthic,day,sand,1,Chordata,seine
Australia (QLD2),Noosa river,Tetractenos hamiltoni,2,Tetraodontidae,Feeds on benthic infauna,benthic invertivore,benthic,day,sand,1,Chordata,seine
Australia (QLD),Bowen,Torquigener sp.,3,Tetraodontidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day/night,"sand,seagrass, rock, coral",1,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Centropogon australis,53,Tetrarogidae,hunting macrofauna (predator),benthic invertivore,demersal,day,"rock, seagrass, sand",1,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Centropogon australis,3,Tetrarogidae,hunting macrofauna (predator),benthic invertivore,benthic,day,"rock, seagrass",1,Chordata,seine
Australia (QLD3),Moreton_Bay,Centropogon australis,5,Tetrarogidae,NA,Benthic invertivore,benthic,Day,rock,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Centropogon australis,5,Tetrarogidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,rock/seagrass,1,Chordata,seine
Australia (VIC),Edwards Point,Gymnapistes marmoratus,3,Tetrarogidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Night,seagrass,1,Chordata,seine
Australia (VIC),Indented Head,Gymnapistes marmoratus,9,Tetrarogidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Night,seagrass,1,Chordata,seine
Wales,"Porthdinllaen, UK",Echiichthys vipera,3,Trachinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (FL),NA,Trichechus manatus,1,Trichechidae,grazing on aquatic plants,browsing herbivore,benthic,NA,NA,0,Chordata,video
Korea,Koje-Korea,Chelidonichthys kumu,2,Triglidae,hunting macrofauna (predator),benthic invertivore,demersal,NA,sand,0,Chordata,seine
Brazil,Praia do Engenho,Prionotus punctatus,2,Triglidae,hunting macrofauna (predator),Carnivore (mostly crustaceans),Demersal,Day (mostly afternoon),sand / mud,0,Chordata,seine
Mexico (ICML),NA,Urobatis jamaicensis,1,Urotrygonidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Mexico (BN),Punta Banda Estuary,Hemigrapsus oregonensis,6,Varunidae,Variable,Omnivore,Benthic,Night,Sand,1,Arthropoda,seine
USA (CA3),Elkhorn Slough,Hemigrapsus oregonensis,1,Varunidae,variable,omnivore,benthic,NA,"seagrass, sand, seaweed, rock",1,Arthropoda,seine
USA (OR),OIMB-Valino-SSNERR,Hemigrapsus oregonensis,58,Varunidae,,,benthic,,,1,Arthropoda,seine
India,Kalpeni Lagoon Lakshadweep,Halichoeres scapularis,19,Labridae,hunting macrofauna (predator),benthic invertivore,benthic,day,coral,1,Chordata,transect
India,Kalpeni Lagoon Lakshadweep,Chrysiptera biocellata,1,Pomacentridae,grazing on aquatic plants,algal farmer,Demersal,day,,1,Chordata,transect
India,Kalpeni Lagoon Lakshadweep,Herklotsichthys quadrimaculatus,200,Clupeidae,hunting macrofauna (predator),"Planktivore, higher carnivore",pelagic,night,"sand, mangroves",0,Chordata,transect
India,Kalpeni Lagoon Lakshadweep,Fistularia commersonii,1,Fistulariidae,hunting macrofauna (predator),Higher carnivore,Demersal,Night,coral,0,Chordata,transect
India,Kalpeni Lagoon Lakshadweep,Pseudojuloides cerasinus,1,Labridae,,,,day,"coral, rubble",1,Chordata,transect
India,Kalpeni Lagoon Lakshadweep,Spratelloides delicatulus,80,Clupeidae,selective plankton feeding,Planktivore,pelagic,day,coral,0,Chordata,transect
India,Kalpeni Lagoon Lakshadweep,Atrosalarias fuscus,4,Blenniidae,grazing on aquatic plants,"detritivore, browsing herbivore",benthic,day,coral,1,Chordata,transect
India,Kalpeni Lagoon Lakshadweep,Leptoscarus vaigiensis,7,Scaridae,grazing on aquatic plants,Scraping herbivore,Demersal,day,seagrass,1,NA,transect
India,Kalpeni Lagoon Lakshadweep,Stethojulis strigiventer,5,Labridae,variable,benthic invertivore,benthic,day,"coral, rock, seagrass",1,Chordata,transect
India,Kalpeni Lagoon Lakshadweep,Valencienna strigata,1,Gobiidae,variable,Benthic invertivore,benthic,day,"coral, rock",0,Chordata,transect
India,Kalpeni Lagoon Lakshadweep,Acanthurus triostegus,1,Acanthuridae,grazing on aquatic plants,Browsing herbivore,Demersal,day,coral,1,Chordata,transect
