#YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2016,5,8,6,30,0.92,13.33,7.47,223,17.8
2016,5,8,7,0,0.94,13.33,7.88,216,17.8
2016,5,8,7,30,0.89,13.33,7.21,206,17.8
2016,5,8,8,0,0.91,15.38,7.42,254,17.7
2016,5,8,8,30,0.94,14.29,7.63,253,17.7
2016,5,8,9,0,1.08,14.29,8.16,254,17.7
2016,5,8,9,30,0.98,14.29,7.56,229,17.6
2016,5,8,10,0,0.96,14.29,7.58,251,17.7
2016,5,8,10,30,1.01,14.29,7.82,247,17.6
2016,5,8,11,0,0.98,14.29,7.69,260,17.7
2016,5,8,11,30,0.92,14.29,7.2,256,17.6
2016,5,8,12,0,0.93,14.29,7.36,260,17.6
2016,5,8,12,30,0.94,14.29,7.4,228,17.6
2016,5,8,13,0,0.93,13.33,7.49,232,17.6
2016,5,8,13,30,0.92,14.29,7.97,226,17.6
2016,5,8,14,0,0.88,14.29,7.24,232,17.6
2016,5,8,14,30,0.9,14.29,7.73,247,17.6
2016,5,8,15,0,0.91,14.29,7.75,244,17.6
2016,5,8,15,30,0.84,14.29,7.71,223,17.7
2016,5,8,16,0,0.85,14.29,7.77,250,17.7
2016,5,8,16,30,0.9,13.33,7.91,223,17.8
2016,5,8,17,0,0.97,13.33,8.33,243,18
2016,5,8,17,30,0.86,14.29,7.82,257,18.2
2016,5,8,18,0,0.89,14.29,8.14,253,18.4
2016,5,8,18,30,0.85,13.33,7.95,219,18.6
2016,5,8,19,0,0.94,20,8.99,211,18.8
2016,5,8,19,30,0.86,13.33,8.37,237,18.8
2016,5,8,20,0,0.87,13.33,8.49,240,18.8
2016,5,8,20,30,0.92,20,9.05,211,18.6
2016,5,8,21,0,0.82,13.33,7.99,233,18.4
2016,5,8,21,30,0.85,20,7.99,202,18.4
2016,5,8,22,0,0.86,14.29,7.67,259,18.4
2016,5,8,22,30,0.87,14.29,7.66,266,18.5
2016,5,8,23,0,0.87,20,6.64,222,18.5
2016,5,8,23,30,0.89,14.29,6.37,230,18.3
2016,5,9,0,0,0.87,14.29,5.74,277,18.2
2016,5,9,0,30,0.92,14.29,6.32,249,18.1
2016,5,9,1,0,0.86,20,6.21,202,18.1
2016,5,9,1,30,0.84,14.29,6.43,247,18.1
2016,5,9,2,0,0.88,13.33,6.93,229,18.2
2016,5,9,2,30,0.88,20,7.27,184,18.4
2016,5,9,3,0,0.91,18.18,7.83,201,18.3
2016,5,9,3,30,0.79,14.29,6.9,237,18.2
2016,5,9,4,0,0.9,18.18,7.81,194,18
2016,5,9,4,30,0.91,18.18,7.74,197,18
2016,5,9,5,0,0.78,18.18,6.46,192,18
2016,5,9,5,30,0.9,18.18,6.99,198,17.9
2016,5,9,6,0,0.79,13.33,5.7,232,17.9
2016,5,9,6,30,0.82,18.18,5.89,212,17.9
2016,5,9,7,0,0.86,18.18,6.13,204,17.9
2016,5,9,7,30,0.92,18.18,6.7,202,18
2016,5,9,8,0,1.01,18.18,7.58,211,18
2016,5,9,8,30,0.97,18.18,7.13,204,18
2016,5,9,9,0,1,18.18,7.22,212,18
2016,5,9,9,30,0.93,13.33,7.01,260,18
2016,5,9,10,0,0.95,12.5,6.99,257,17.9
2016,5,9,10,30,0.99,18.18,7.36,199,17.9
2016,5,9,11,0,0.98,18.18,7.73,201,17.9
2016,5,9,11,30,0.99,18.18,7.78,204,17.8
2016,5,9,12,0,0.98,18.18,7.93,202,17.9
2016,5,9,12,30,0.89,18.18,7.32,205,17.9
2016,5,9,13,0,0.94,18.18,7.93,206,17.9
2016,5,9,13,30,0.8,18.18,7.32,205,17.8
2016,5,9,14,0,0.95,18.18,8.91,202,17.8
2016,5,9,14,30,0.94,18.18,8.55,199,17.8
2016,5,9,15,0,0.91,18.18,8.35,194,17.9
2016,5,9,15,30,0.96,18.18,9.74,199,17.8
2016,5,9,16,0,0.84,18.18,8.29,212,17.8
2016,5,9,16,30,0.9,18.18,8.42,205,17.9
2016,5,9,17,0,0.86,18.18,7.16,202,17.8
2016,5,9,17,30,0.98,18.18,7.64,190,17.9
2016,5,9,18,0,1.01,18.18,7.93,187,18
2016,5,9,18,30,0.96,16.67,7.55,206,18.1
2016,5,9,19,0,0.96,18.18,7.19,202,18.2
2016,5,9,19,30,1.02,18.18,7.62,202,18.2
2016,5,9,20,0,1.01,18.18,7.77,197,18.2
2016,5,9,20,30,0.93,18.18,6.88,208,18.3
2016,5,9,21,0,0.99,16.67,7.31,194,18.3
2016,5,9,21,30,0.95,13.33,7.28,251,18.3
2016,5,9,22,0,0.99,16.67,6.69,208,18.3
2016,5,9,22,30,1.01,16.67,6.95,198,18.3
2016,5,9,23,0,1.08,16.67,7.47,194,18.3
2016,5,9,23,30,1.05,16.67,7.28,199,18.4
2016,5,10,0,0,1.06,13.33,7.07,268,18.4
2016,5,10,0,30,1.05,16.67,7.23,209,18.4
2016,5,10,1,0,1.06,16.67,7.65,197,18.5
2016,5,10,1,30,1.07,18.18,7.3,191,18.5
2016,5,10,2,0,1.02,16.67,7.04,198,18.4
2016,5,10,2,30,1.17,16.67,7.76,198,18.4
2016,5,10,3,0,0.99,16.67,6.79,201,18.4
2016,5,10,3,30,1.11,16.67,7.87,197,18.4
2016,5,10,4,0,1.19,16.67,8.63,199,18.4
2016,5,10,4,30,0.92,16.67,6.76,198,18.3
2016,5,10,5,0,1.11,16.67,7.96,199,18.3
2016,5,10,5,30,1.04,16.67,8.08,191,18.3
2016,5,10,6,0,1.1,16.67,8.09,199,18.4
2016,5,10,6,30,1.06,16.67,8.29,209,18.3
2016,5,10,7,0,1.17,15.38,8.55,205,18.3
2016,5,10,7,30,1.09,16.67,8.03,211,18.3
2016,5,10,8,0,1.08,16.67,8.19,212,18.4
2016,5,10,8,30,1.05,16.67,8.07,206,18.3
2016,5,10,9,0,1.2,16.67,9.42,211,18.3
2016,5,10,9,30,1.06,16.67,8.52,202,18.3
2016,5,10,10,0,1.15,16.67,9.14,205,18.3
2016,5,10,10,30,1.19,16.67,9.96,204,18.3
2016,5,10,11,0,1.08,16.67,9.68,206,18.3
2016,5,10,11,30,1.31,16.67,11.03,202,18.3
2016,5,10,12,0,1.04,16.67,9.71,191,18.2
2016,5,10,12,30,1.08,16.67,10,211,18.2
2016,5,10,13,0,1.2,16.67,11.08,198,18.2
2016,5,10,13,30,1.11,16.67,10.8,197,18.2
2016,5,10,14,0,1.13,16.67,10.56,199,18.2
2016,5,10,14,30,1.04,16.67,10.27,194,18.2
2016,5,10,15,0,1.15,16.67,11.23,198,18.2
2016,5,10,15,30,1.1,16.67,10.87,198,18.2
2016,5,10,16,0,1.11,16.67,11.69,194,18.2
2016,5,10,16,30,1.03,16.67,10.49,199,18.2
2016,5,10,17,0,1,15.38,10.22,204,18.3
2016,5,10,17,30,1.07,15.38,10.5,204,18.3
2016,5,10,18,0,1.12,16.67,10.89,202,18.4
2016,5,10,18,30,1.17,16.67,10.96,202,18.4
2016,5,10,20,30,1.24,16.67,9.73,194,18.4
2016,5,10,21,0,1.17,16.67,8.79,192,18.5
2016,5,10,21,30,1.21,16.67,8.99,194,18.5
2016,5,10,22,0,1.13,15.38,7.51,205,18.5
2016,5,10,22,30,1.12,16.67,7.49,197,18.6
2016,5,10,23,0,1.12,15.38,7.73,195,18.6
2016,5,10,23,30,1.12,16.67,7.59,190,18.6
